timestamp,inputs,outputs[1],outputs[2],outputs[3],outputs[4],time
2019-11-04 19:37:49.248433,0.0,9.900000031706817,0.09999996829318347,0.0,0.0,0.0
2019-11-04 19:37:49.273500,0.0,9.830908657760922,0.19999304167657272,0.0,0.0,0.001000000047497451
2019-11-04 19:37:49.353720,0.0,9.76479093452668,0.29998455707573984,0.0,0.0,0.002000000094994902
2019-11-04 19:37:49.427922,0.0,9.701613590557947,0.39997435659041847,0.0,0.0,0.003000000026077032
2019-11-04 19:37:49.432639,0.0,9.64134045396375,0.4999622823232793,0.0,0.0,0.004000000189989804
2019-11-04 19:37:49.502947,0.0,9.583932489604331,0.5999481763792699,0.0,0.0,0.004999999888241291
2019-11-04 19:37:49.580356,0.0,9.529347834776702,0.6999318808680205,0.0,0.0,0.006000000052154064
2019-11-04 19:37:49.641524,0.0,9.477541845297894,0.7999132379005798,0.0,0.0,0.0070000002160668364
2019-11-04 19:37:49.652553,0.0,9.428467135765091,0.899892089592686,0.0,0.0,0.008000000379979609
2019-11-04 19:37:49.744831,0.0,9.382073627799551,0.9998682780640339,0.0,0.0,0.008999999612569809
2019-11-04 19:37:49.784937,0.0,9.338308597200895,1.0998416454412245,0.0,0.0,0.009999999776482582
2019-11-04 19:37:49.837086,0.0,9.297116733453215,1.1998120338500593,0.0,0.0,0.010999999940395357
2019-11-04 19:37:49.901257,0.0,9.258440187097015,1.2997792854235977,0.0,0.0,0.012000000104308128
2019-11-04 19:37:49.948390,0.0,9.222218629448122,1.3997432422998521,0.0,0.0,0.0130000002682209
2019-11-04 19:37:49.989499,0.0,9.188389312290374,1.4997037466220386,0.0,0.0,0.014000000432133676
2019-11-04 19:37:50.042652,0.0,9.156887129956095,1.5996606405388247,0.0,0.0,0.014999999664723871
2019-11-04 19:37:50.140920,0.0,9.127644681660616,1.6996137662081625,0.0,0.0,0.016000000759959217
2019-11-04 19:37:50.167991,0.0,9.100592346462058,1.7995629657832055,0.0,0.0,0.017000000923871994
2019-11-04 19:37:50.254229,0.0,9.075658339693664,1.8995080814340561,0.0,0.0,0.017999999225139618
2019-11-04 19:37:50.281302,0.0,9.052768788511889,1.9994489553417307,0.0,0.0,0.01899999938905239
2019-11-04 19:37:50.339465,0.0,9.031847814236665,2.0993854296781422,0.0,0.0,0.019999999552965164
2019-11-04 19:37:50.379575,0.0,9.01281759589691,2.199317346629905,0.0,0.0,0.020999999716877937
2019-11-04 19:37:50.492662,0.0,8.995598451063493,2.29924454839083,0.0,0.0,0.02199999988079071
2019-11-04 19:37:50.499681,0.0,8.98010891464168,2.399166877162174,0.0,0.0,0.023000000044703484
2019-11-04 19:37:50.601960,0.0,8.966265819422848,2.49908417515289,0.0,0.0,0.024000000208616257
2019-11-04 19:37:50.643077,0.0,8.953984378315985,2.5989962845798735,0.0,0.0,0.02500000037252903
2019-11-04 19:37:50.724298,0.0,8.943178268177801,2.6989030476682148,0.0,0.0,0.026000000536441803
2019-11-04 19:37:50.786140,0.0,8.93375971515873,2.798804306651446,0.0,0.0,0.027000000700354576
2019-11-04 19:37:50.819728,0.0,8.925639581480599,2.8986999037717918,0.0,0.0,0.028000000864267346
2019-11-04 19:37:50.939556,0.0,8.918727453560322,2.9985896812804165,0.0,0.0,0.028999999165534977
2019-11-04 19:37:50.945571,0.0,8.912931729399187,3.098473481448956,0.0,0.0,0.029999999329447743
2019-11-04 19:37:51.031805,0.0,8.908159715290465,3.198351146536218,0.0,0.0,0.03099999949336052
2019-11-04 19:37:51.085955,0.0,8.904317711128636,3.2982225188216843,0.0,0.0,0.032000001519918435
2019-11-04 19:37:51.158157,0.0,8.901311106668055,3.3980874405826125,0.0,0.0,0.032999999821186066
2019-11-04 19:37:51.221831,0.0,8.899044469179067,3.4979457541429317,0.0,0.0,0.03400000184774399
2019-11-04 19:37:51.275480,0.0,8.897421647694818,3.597797301787772,0.0,0.0,0.035000000149011605
2019-11-04 19:37:51.314583,0.0,8.89634585775198,3.697641925863357,0.0,0.0,0.035999998450279236
2019-11-04 19:37:51.406811,0.0,8.895719784434656,3.797479468701933,0.0,0.0,0.037000000476837165
2019-11-04 19:37:51.411823,0.0,8.895445677118207,3.897309772619667,0.0,0.0,0.03799999877810478
2019-11-04 19:37:51.506808,0.0,8.895425442341576,3.9971326799980913,0.0,0.0,0.039000000804662704
2019-11-04 19:37:51.536898,0.0,8.895560745280335,4.096948033175311,0.0,0.0,0.03999999910593033
2019-11-04 19:37:51.595055,0.0,8.895753103898004,4.196755674557641,0.0,0.0,0.04100000113248825
2019-11-04 19:37:51.649208,0.0,8.895903987874345,4.29655544650612,0.0,0.0,0.04199999943375588
2019-11-04 19:37:51.718903,0.0,8.895914915882148,4.396347191452842,0.0,0.0,0.0430000014603138
2019-11-04 19:37:51.741464,0.0,8.895687551580783,4.496130751782773,0.0,0.0,0.04399999976158143
2019-11-04 19:37:51.829728,0.0,8.895123803634098,4.595905969954782,0.0,0.0,0.04500000178813934
2019-11-04 19:37:51.881303,0.0,8.894125918390847,4.69567268837876,0.0,0.0,0.04600000008940697
2019-11-04 19:37:51.942058,0.0,8.892596582248498,4.795430749541347,0.0,0.0,0.04699999839067459
2019-11-04 19:37:51.970138,0.0,8.890439013175136,4.895179995911481,0.0,0.0,0.04800000041723251
2019-11-04 19:37:52.065217,0.0,8.887557054935199,4.994920269938305,0.0,0.0,0.04899999871850014
2019-11-04 19:37:52.088278,0.0,8.883855280412424,5.094651414151978,0.0,0.0,0.05000000074505806
